% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
6	6.25	1	2	1	3	125	273460	125	273460	0.003	0	0.003	0.003	2187.68	23.2287	2112	2196	
6.25	6.5	1	1	2	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
6.25	6.5	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
6.5	6.75	1	1	2	3	125	273267	125	273267	0.003	0	0.003	0.003	2186.14	25.1022	2112	2196	
6.5	6.75	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
6.75	7	1	1	2	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
6.75	7	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
7	7.25	1	1	2	3	125	273435	125	273460	0.003	0	0.003	0.003	2187.68	23.2287	2112	2196	
7	7.25	1	2	1	3	125	273351	125	273435	0.003	0	0.003	0.003	2187.48	23.2641	2112	2196	
7.25	7.5	1	1	2	3	125	273376	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
7.25	7.5	1	2	1	3	125	273376	125	273292	0.003	0	0.003	0.003	2186.34	25.0802	2112	2196	
7.5	7.75	1	1	2	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
7.5	7.75	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
7.75	8	1	1	2	3	125	273267	125	273267	0.003	0	0.003	0.003	2186.14	25.1022	2112	2196	
7.75	8	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
8	8.25	1	1	2	3	125	273351	125	273435	0.003	0	0.003	0.003	2187.48	23.2641	2112	2196	
8	8.25	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
8.25	8.5	1	1	2	3	125	273460	125	273376	0.003	0	0.003	0.003	2187.01	24.1816	2112	2196	
8.25	8.5	1	2	1	3	125	273460	125	273460	0.003	0	0.003	0.003	2187.68	23.2287	2112	2196	
8.5	8.75	1	1	2	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
8.5	8.75	1	2	1	3	125	273267	125	273267	0.003	0	0.003	0.003	2186.14	25.1022	2112	2196	
8.75	9	1	1	2	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
8.75	9	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
9	9.25	1	1	2	3	125	273267	125	273267	0.003	0	0.003	0.003	2186.14	25.1022	2112	2196	
9	9.25	1	2	1	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
9.25	9.5	1	1	2	3	125	273460	125	273460	0.003	0	0.003	0.003	2187.68	23.2287	2112	2196	
9.25	9.5	1	2	1	3	125	273435	125	273460	0.003	0	0.003	0.003	2187.68	23.2287	2112	2196	
9.5	9.75	1	1	2	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
9.5	9.75	1	2	1	3	125	273376	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
9.75	10	1	1	2	3	125	273351	125	273351	0.003	0	0.003	0.003	2186.81	24.21	2112	2196	
9.75	10	1	2	1	3	125	273267	125	273267	0.003	0	0.003	0.003	2186.14	25.1022	2112	2196	
